"ctrl1","ctrl2","ctrl3","treat1","treat2","treat3","gene"
427.741090489559,375.020100650679,369.253058419873,273.513870694485,270.96993983874,337.381161644063,"1"
129.033535610865,109.812515660144,57.7602549483601,129.658824516071,141.33324200222,153.009484576603,"2"
123.953475153744,196.833754485163,148.526369867212,401.279865655576,405.480197744302,401.055916095195,"3"
341.380062718508,366.732363619725,323.870000960447,264.049722919589,366.491717191965,284.160471356548,"4"
398.276739838259,389.523640454849,396.070319645898,429.672308980263,389.884805523367,351.636703685361,"5"
93.47311241102,94.2730087271043,127.897707385654,75.7131821991653,50.6850247180377,133.051725718785,"6"
287.531421873029,253.811946572973,314.587102843747,342.602149451223,394.758365592409,383.949265645637,"7"
472.445622512221,550.098545429587,463.113472710958,422.100990760347,511.723807249419,446.67365062735,"8"
430.789126763831,421.638621449796,456.924873966491,406.958354320514,441.544542255213,452.37586744387,"9"
481.589731335038,488.976484826299,467.23920520727,484.564366074658,449.34223836568,490.390646220666,"10"
436.885199312376,383.307837681633,430.107612740467,215.782569267621,161.802194292197,147.307267760084,"11"
322.075832981449,335.653349753646,316.649969091903,249.853501257246,314.831980460119,263.252343029311,"12"
441.965259769497,487.94051769743,497.150765805528,272.567455916995,255.374547617805,267.05382090699,"13"
378.972510101201,365.696396490855,350.687262186472,352.066297226119,339.199780805329,292.713796581328,"14"
233.68278102755,213.409228547071,209.380924187805,101.266381191384,164.726330333622,140.654681474144,"15"
269.243204227395,255.883880830712,243.418217282375,498.760587737002,511.723807249419,449.52475903561,"16"
406.404836569652,419.566687192058,480.647835820282,9.46414777489567,51.6597367318461,19.0073893883979,"17"
358.652268272718,394.703476099195,375.44165716434,202.532762382767,174.473450471707,206.230174864117,"18"
540.518432637637,470.329076506652,543.565256389031,148.587120065862,180.321722554557,116.895444738647,"19"
436.885199312376,464.113273733437,425.981880244155,426.833064647795,383.061821426708,460.929192668649,"20"
553.726589826151,486.904550568561,528.093759527863,436.29721242269,514.647943290844,461.879562138069,"21"
462.285501597979,465.149240862306,491.993600185138,701.293350119769,647.208777168789,677.613431696385,"22"
404.372812386804,491.048419084038,452.79914147018,713.596742227133,676.450137583042,670.960845410446,"23"
195.074321553433,222.732932706895,265.07831288801,184.550881610465,190.068842692641,264.202712498731,"24"
321.059820890025,358.44462658877,272.298344756555,9.46414777489567,76.0275370770565,51.3199513486743,"25"
353.572207815597,370.876232135202,345.530096566083,231.871620484944,279.742347963016,298.416013397847,"26"
418.596981666742,439.250062640574,472.396370827659,431.565138535242,409.379045799535,407.708502381135,"27"
299.723566970118,302.502401629829,280.549809749177,333.138001676327,303.135436294418,364.941876257239,"28"
315.979760432905,293.178697470006,301.178472230735,353.012712003608,353.820461012455,275.607146131769,"29"
122.93746306232,164.718773490215,129.96057363381,9.46414777489567,9.74712013808417,9.50369469419894,"30"
417.580969575318,370.876232135202,447.641975849791,446.707774975075,460.064070517573,436.219586463732,"31"
178.818128090647,153.323135072653,140.274904874589,254.585575144693,332.37679670867,296.515274459007,"32"
243.842901941791,283.854993310182,192.87799420256,252.692745589714,257.323971645422,249.947170457432,"33"
145.289729073651,96.3449429848429,64.9802868169051,9.46414777489567,9.74712013808417,9.50369469419894,"34"
333.251965987115,307.682237274176,318.712835340058,359.637615446035,343.098628860563,313.621924908565,"35"
235.714805210398,320.113842820607,304.272771602968,294.334995799255,312.882556432502,385.850004584477,"36"
493.781876432127,513.839695919162,510.55939641854,436.29721242269,472.735326697082,419.112936014173,"37"
135.129608159409,121.208154077706,189.783694830326,174.14031905808,138.409105960795,114.044336330387,"38"
311.915712067208,287.998861825659,242.386784158297,442.922115865117,468.836478641849,447.62402009677,"39"
99.5691849595648,37.294816639294,127.897707385654,417.368916872899,397.682501633834,386.800374053897,"40"
371.860425461232,330.4735141093,315.618535967825,433.457968090221,392.808941564792,395.353699278676,"41"
122.93746306232,67.3378633765031,88.7032486706958,155.212023508289,215.41135505166,171.066504495581,"42"
381.004534284049,317.005941433999,359.970160303173,459.01116708244,462.988206558998,449.52475903561,"43"
304.803627427239,303.538368758699,363.064459675406,338.816490341265,299.236588239184,282.259732417709,"44"
223.522660113309,224.804866964633,178.437930465469,182.658052055486,170.574602416473,219.535347435996,"45"
117.857402605199,112.920417046751,50.5402230798151,9.46414777489567,9.74712013808417,9.50369469419894,"46"
307.851663701512,276.603223408097,299.115605982579,289.602921911807,287.540044073483,265.153081968151,"47"
266.195167953122,312.862072918522,316.649969091903,502.54624684696,453.241086420914,521.752838711522,"48"
510.038069894913,446.501832542659,448.673408973868,555.545474386376,553.636423843181,538.85948916108,"49"
420.62900584959,430.96232560962,471.364937703581,476.993047854742,554.611135856989,495.142493567765,"50"
