"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","significant"
333.369508815398,-1.80323665217784,0.125176930765893,-14.4055030039862,4.77826353890158e-47,2.38913176945079e-45,"19",1
371.425742727085,0.925336507970806,0.0914268559175333,10.1210579614097,4.45572975443992e-24,1.11393243860998e-22,"16",0
370.342061285708,-0.843506805678251,0.0898170164481803,-9.39139195482974,5.92124829999411e-21,9.86874716665686e-20,"13",0
74.3886287989207,-3.86233522788704,0.427062557409032,-9.04395658406498,1.51101297835577e-19,1.88876622294471e-18,"30",1
295.865446842396,-1.25184739208278,0.151281271314351,-8.27496610258872,1.28492168321137e-16,1.28492168321137e-15,"11",1
395.541230323824,0.722975415490443,0.0885951847459005,8.16043690821354,3.33814893753594e-16,2.78179078127995e-15,"48",0
279.521596500199,1.36434599744642,0.170963676045449,7.98032675130198,1.45946417969667e-15,1.04247441406905e-14,"3",1
568.20468302694,0.612830229292622,0.0774761453487102,7.9099215188669,2.57551206494101e-15,1.60969504058813e-14,"23",0
366.947328775817,0.689984692457872,0.0941666760203944,7.32727034251944,2.34887702528552e-13,1.30493168071418e-12,"39",0
55.8883202470962,-3.41693734130679,0.476863036761357,-7.16544810122656,7.75325256823501e-13,3.87662628411751e-12,"34",1
574.257316938394,0.513708956626836,0.0734446899799621,6.99450098798145,2.66204707386707e-12,1.21002139721231e-11,"22",0
51.6721675564907,-3.29256161384877,0.488679931391439,-6.73766488522195,1.60952249381106e-11,6.70634372421274e-11,"46",1
285.338964875807,-0.952136407752751,0.143833861502181,-6.61969579213664,3.59938815454502e-11,1.38438005944039e-10,"18",0
231.125105579522,-4.02875255016691,0.647261570721858,-6.22430363921319,4.83699516109449e-10,1.72749827181946e-09,"17",1
244.435583590857,2.18234764548083,0.47808236174608,4.56479431182178,4.99984314378327e-06,1.66661438126109e-05,"40",1
404.917461449711,0.373974282636968,0.0835398339176467,4.47659834954461,7.58417386861485e-06,2.37005433394214e-05,"43",0
225.98230239171,0.902800098393628,0.229520617732697,3.93341612318698,8.37470710523163e-05,0.000246314914859754,"32",0
342.3132036229,-0.410306616517588,0.106678043451512,-3.84621430279685,0.000119956854212929,0.000333213483924804,"1",0
181.435738072663,-2.79896048070766,0.749313718993736,-3.73536532130551,0.000187442875750248,0.000493270725658548,"25",1
329.540041996503,0.389244503386364,0.110535552306418,3.5214417014657,0.000429207031831449,0.00107301757957862,"7",0
313.334753060448,-0.401725900420552,0.121768511598104,-3.29909510388404,0.000969970435523014,0.00230945341791194,"26",0
508.87578313368,0.229551831289616,0.0751915642588065,3.05289341367479,0.00226646425049294,0.00515105511475668,"49",0
136.778076360841,0.956677971566568,0.31523469744153,3.0348117746271,0.00240685845509544,0.00523230098933791,"42",0
373.262180745341,0.262997281408676,0.0897889035168898,2.92906217926144,0.00339986403214985,0.00708305006697885,"41",0
474.950491073714,0.206299867312274,0.0789707914011592,2.61235658972065,0.00899204093746947,0.0179840818749389,"50",0
474.387740650629,-0.193266409976376,0.0757198791178924,-2.5523866681756,0.0106987709989578,0.0205745596133804,"37",0
177.18672112693,-0.691388970860344,0.279191483603686,-2.47639706604294,0.0132715888009878,0.0245770162981256,"15",0
496.924936295696,-0.151843227636284,0.078588178212294,-1.93213828199583,0.0533424403913445,0.0952543578416865,"21",0
