UMAP1,UMAP2,cluster,cell
1.2520726919174194,1.7871406078338623,0,Cell_0
0.7747310996055603,0.9711074233055115,0,Cell_1
2.619124174118042,2.554790496826172,0,Cell_2
-1.133151888847351,3.740654468536377,0,Cell_3
-2.2275171279907227,2.1478328704833984,0,Cell_4
1.3632090091705322,3.7670576572418213,0,Cell_5
1.674554705619812,2.1380550861358643,0,Cell_6
1.1236937046051025,2.3477959632873535,0,Cell_7
-0.05660681426525116,1.854305386543274,0,Cell_8
-1.5341269969940186,4.016043663024902,0,Cell_9
1.0928497314453125,4.374922275543213,0,Cell_10
-1.3701945543289185,3.140747547149658,0,Cell_11
1.9616254568099976,3.1537532806396484,0,Cell_12
0.44725072383880615,2.545994281768799,0,Cell_13
-0.38285931944847107,1.4944580793380737,0,Cell_14
-0.5610858798027039,1.951710820198059,0,Cell_15
1.1252233982086182,0.39448413252830505,0,Cell_16
-0.0951046571135521,2.3232524394989014,0,Cell_17
-1.2819346189498901,2.8686211109161377,0,Cell_18
-1.3478493690490723,4.634289741516113,0,Cell_19
-0.4873245060443878,2.904446840286255,0,Cell_20
1.2137501239776611,1.192665457725525,0,Cell_21
-0.16651666164398193,4.417370796203613,0,Cell_22
0.3327450156211853,1.147538661956787,0,Cell_23
0.5858482122421265,2.1267852783203125,0,Cell_24
-1.6790144443511963,2.044020175933838,0,Cell_25
-0.004718606825917959,3.801029920578003,0,Cell_26
0.8683236837387085,5.006281852722168,0,Cell_27
-0.16837844252586365,3.161932945251465,0,Cell_28
0.3255993723869324,5.152291297912598,0,Cell_29
2.47220516204834,3.395390033721924,0,Cell_30
1.2511978149414062,2.884338140487671,0,Cell_31
0.5033478736877441,3.0158228874206543,0,Cell_32
0.338812917470932,4.305418014526367,0,Cell_33
1.814517617225647,2.4661924839019775,0,Cell_34
0.09945260733366013,0.2578202784061432,0,Cell_35
-2.0883936882019043,2.829954147338867,0,Cell_36
-0.6083646416664124,4.008392810821533,0,Cell_37
-0.9669097661972046,1.848005771636963,0,Cell_38
0.6287462115287781,3.29612135887146,0,Cell_39
0.9691635370254517,3.784397602081299,0,Cell_40
-0.960744321346283,2.395625114440918,0,Cell_41
-1.1674470901489258,0.408352255821228,0,Cell_42
1.7118780612945557,4.992152214050293,0,Cell_43
2.2622878551483154,3.929405689239502,0,Cell_44
2.2849514484405518,4.794607162475586,0,Cell_45
-1.9420806169509888,1.4792382717132568,0,Cell_46
2.0155961513519287,1.631070852279663,0,Cell_47
-1.269814133644104,1.2952210903167725,0,Cell_48
-0.8819278478622437,0.7789402008056641,0,Cell_49
